#risk:0.645,delay:0,sensitivity:median,sens_multiplier:0.8
"","Infectiousness_1","nInfected_1","Infectiousness_2","nInfected_2","Infectiousness_3","nInfected_3","Infectiousness_4","nInfected_4","Infectiousness_5","nInfected_5","Infectiousness_7","nInfected_7","Infectiousness_10","nInfected_10","Infectiousness_15","nInfected_15","Infectiousness_20","nInfected_20","Infectiousness_25","nInfected_25","Infectiousness_30","nInfected_30","Infectiousness_NA","nInfected_NA"
"13",41.7804292864868,76,50.7671016726228,73,39.0370378643679,51,52.6450969049853,84,53.9799583637493,85,68.1599789493438,98,75.4716797511724,100,72.3189038250113,97,71.403859457911,97,71.6853312458335,100,76.1920182701967,100,82.9997676601775,100
"14",58.2167136137264,86,48.5629729994912,68,60.990604692642,92,65.4023403374297,87,63.6326100723735,87,74.5236030730603,98,67.8072556316627,99,74.0241325318988,98,68.79066533834,99,76.9406342814908,100,82.8475728224524,100,77.2559825641686,100
"15",37.9059301149322,62,36.774991449994,54,54.5871002799976,77,36.5987518075271,47,69.2755297806792,96,72.1837692247668,99,63.0320962727016,83,73.0015876027173,94,78.9852305192162,99,77.1967651560611,97,75.2465995161999,100,77.4997463409001,100
"16",43.6772134800123,73,36.5123781024289,55,57.8092458595153,82,57.4780495285766,82,66.498809173348,92,68.9775303975274,96,74.1008745911337,92,73.9177410388613,100,80.7786024104539,99,75.9229131221566,99,75.0494645450488,99,77.4997776256348,100
"17",16.129906758729,22,14.9450967047677,19,60.1115503745374,80,41.2089706152755,54,51.1812138033079,74,45.2195492063265,58,75.0004511076054,95,75.7170275565464,100,71.6651091168159,94,78.1087592581282,100,82.5570818263454,100,76.9996923634448,99
"18",52.9728993819927,96,51.9408201061577,77,57.2593891918959,83,61.6617143492185,84,66.3773165395739,92,68.2821706713539,93,70.398292240638,98,74.3369251678984,98,74.3652778347349,97,72.7987234781649,98,75.6209340097727,100,76.4998134240808,100
"19",19.2622298126942,26,51.6287944439274,81,59.5454558857817,94,63.9998505660371,94,68.5145201035291,99,64.705279353568,82,71.1488416891861,99,77.7518232768527,99,83.6176425843698,98,76.3609088231677,100,77.5120704737884,100,79.999788781662,100
"20",19.718860602705,24,43.153579492751,63,56.9759331775405,93,49.9981696673102,73,64.2174984182331,88,70.8904684065107,97,71.5582125966,94,73.1598547457642,96,79.2438364854021,100,77.7634570034582,98,81.3402598333238,99,79.4997278929655,100
"21",47.3253929439931,81,47.9115014467092,77,61.3546258407816,83,60.144091971192,86,63.13338548653,91,59.0446969531538,89,68.7235975932557,96,79.8613206606849,99,75.6872700057045,100,76.6268234693993,100,77.806660479647,99,79.9997574097834,100
"22",36.0590798749839,53,49.3760375973027,76,55.4798622737473,81,60.7124253801288,89,73.5253049080592,95,65.1260796184187,83,72.3775412835897,97,73.4012065049536,96,71.096226696934,100,81.3017677487685,99,83.1037195659171,98,78.4997371169328,100
