"","test_freq","outcome","risk","delay","sensitivity","sens_multiplier","Lower","Upper","Min","Q1","Median","Mean","Q3","Max","R0"
"19","25","Infectiousness","0.96","1","median","1","3.90089441278152","3.78785416192634","16.7721591658382","6.49659599962756","3.75141746065482","3.84437428735393","1.0451157591558","0",2
"20","25","nInfected","0.96","1","median","1","0.580927675900629","0.554588128514072","8.92216985423908","0.915327643622739","0","0.567757902207351","0","0",2
"21","30","Infectiousness","0.96","1","median","1","3.07021415387357","2.96097252557641","14.4609148627766","5.17415201690282","2.82314122608362","3.01559333972499","0.515528993465364","0",2
"22","30","nInfected","0.96","1","median","1","0.355786090267153","0.335713918831557","6.920459301585","0.915327643622739","0","0.345750004549355","0","0",2
"23","1","Infectiousness","0.645","1","median","1","50.6561364480633","50.3125885238268","91.7158561264554","59.9542796895243","46.8541810541514","50.4843624859451","40.3524600227915","25.8427100790437",1.5
"24","1","nInfected","0.645","1","median","1","38.0017628965169","37.5317279150297","89.9907915282059","50.9548784882092","32.9383032389799","37.7667454057733","22.9290947671858","3.91159867077712",1.5
"25","2","Infectiousness","0.645","1","median","1","43.2603416427427","42.9631671893176","87.1078458928969","48.7196115848958","40.4357744547101","43.1117544160302","34.9340490183221","19.7755276987506",1.5
"26","2","nInfected","0.645","1","median","1","31.5459542523125","31.1557312983942","87.9889498338471","40.9456700164151","28.9346198502622","31.3508427753533","18.9254113784682","4.91251951795652",1.5
"27","3","Infectiousness","0.645","1","median","1","39.2917770439276","38.9946822582904","93.3666271643975","44.3753394058917","36.8522963368548","39.143229651109","31.2331956363242","16.5764921747563",1.5
"28","3","nInfected","0.645","1","median","1","28.2765151206436","27.8951628230646","93.9944749169236","36.9419866276975","24.4304760379549","28.0858389718541","16.9235696841094","2.91067782359771",1.5
"29","4","Infectiousness","0.645","1","median","1","32.9095189425341","32.6140411059716","86.0657630236998","37.589948733364","30.8117918705995","32.7617800242529","25.9744928258371","7.86897612007137",1.5
"30","4","nInfected","0.645","1","median","1","23.5800936593004","23.2349762049747","85.9871081394883","29.9355406974416","19.9263322256476","23.4075349321376","13.9208071425712","0",1.5
"31","5","Infectiousness","0.645","1","median","1","28.5291363636051","28.2505568839867","72.2231666999523","32.0492136454233","26.4224475374171","28.3898466237959","21.241850260542","2.99668443017451",1.5
"32","5","nInfected","0.645","1","median","1","19.7300866652857","19.4219331929839","72.9751371261561","24.9309364615446","16.4231092605197","19.5760099291348","10.918044601033","0.908836129238901",1.5
"33","7","Infectiousness","0.645","1","median","1","20.4647498344919","20.2062082929468","74.0654842145368","23.6954086135984","19.0389003346476","20.3354790637194","13.9767769527998","0.999411194005121",1.5
"34","7","nInfected","0.645","1","median","1","13.0072385438452","12.7364456456091","76.9788205148737","15.92264883693","9.91712375385355","12.8718420947271","5.91344036513593","0",1.5
"35","10","Infectiousness","0.645","1","median","1","12.8840987361628","12.7077743654883","56.6970122143291","15.7701681938765","11.9895180749326","12.7959365508256","8.69341895154802","0",1.5
"36","10","nInfected","0.645","1","median","1","6.53485171385646","6.37302353136916","52.956720182568","8.16551227128959","4.91251951795652","6.45393762261281","1.90975697641831","0",1.5
"37","15","Infectiousness","0.645","1","median","1","6.31713259802301","6.18728129788718","29.8366426769733","8.69552019169746","6.19684624474937","6.25220694795509","3.48369628486922","0",1.5
"38","15","nInfected","0.645","1","median","1","2.0116194676333","1.940016037031","31.9373823918005","2.91067782359771","0.908836129238901","1.97581775233215","0","0",1.5
"39","20","Infectiousness","0.645","1","median","1","4.96552128903248","4.84304611696387","17.6902760447683","7.36698617871291","4.75834768165792","4.90428370299818","2.28449494207717","0",1.5
"40","20","nInfected","0.645","1","median","1","1.15733624272123","1.10874855529295","18.9254113784682","1.90975697641831","0.908836129238901","1.13304239900709","0","0",1.5
"41","25","Infectiousness","0.645","1","median","1","3.61342416811275","3.49384002626434","16.4545527129181","6.02070471432323","3.39207006709303","3.55363209718854","0.957107430066926","0",1.5
"42","25","nInfected","0.645","1","median","1","0.633752830715712","0.603385336398022","13.9208071425712","0.908836129238901","0","0.618569083556867","0","0",1.5
"43","30","Infectiousness","0.645","1","median","1","2.58714781575157","2.47197940948214","14.3903903358235","4.75158883876446","2.26485712952657","2.52956361261685","0.108992883137773","0",1.5
"44","30","nInfected","0.645","1","median","1","0.465067573756598","0.439764872093581","6.91436121231533","0.908836129238901","0","0.452416222925089","0","0",1.5
"45","1","Infectiousness","1.28","1","median","1","40.8812378771742","40.6620263012245","71.1510239893377","45.028525987694","39.7759978102956","40.7716320891994","35.3581068035679","18.7502000000172",2.5
"46","1","nInfected","1.28","1","median","1","26.0899596010015","25.7778996142375","66.9848130139864","32.9691658162755","23.9650239109991","25.9339296076195","16.9618024291174","1.95489925365668",2.5
"47","2","Infectiousness","1.28","1","median","1","34.9477116552987","34.7473093241928","68.5729918767225","39.8430868526929","34.2058168379601","34.8475104897457","29.9080207477217","17.1659035029022",2.5
"48","2","nInfected","1.28","1","median","1","21.734937715697","21.4689360662427","62.9829721671969","27.9668647577886","19.9631830642095","21.6019368909698","13.9604217940252","2.95535946535406",2.5
"49","3","Infectiousness","1.28","1","median","1","30.8556454836196","30.6620533926329","65.7068355321262","34.6189887778332","29.5343039974713","30.7588494381262","25.9438754678033","16.2183542825303",2.5
