"","test_freq","delay","sensitivity","sens_multiplier","Rc","Rc.Median","Rc.upper","Rc.lower","Rc.Q3","Rc.Q1","Rc.Min","Rc.Max","R0","R0_base"
"36",3,1,"random",0.8,0.485271170161371,0.210085745914042,0.495251983028358,0.475290357294384,0.0175605969767474,0.905948495094504,1.5,0,1.5,1.5
"37",4,1,"random",0.8,0.610761776397024,0.220494705698568,0.621374334997132,0.600149217796914,0.0167980398183285,1.26197263170732,1.5,0,1.5,1.5
"38",5,1,"random",0.8,0.766729617375376,0.642533529672366,0.777717316920479,0.755741917830275,0.0148026566571886,1.45642529578996,1.5,0,1.5,1.5
"39",7,1,"random",0.8,0.938291512872604,1.06220058980736,0.949711949524142,0.926871076221067,0.0298338130158991,1.5,1.5,0,1.5,1.5
"40",10,1,"random",0.8,1.05669747762779,1.29642540639776,1.0683242462405,1.04507070901508,0.042266683230978,1.5,1.5,0,1.5,1.5
"41",15,1,"random",0.8,1.19992617535204,1.5,1.2118220041435,1.18803034656057,0.0349401231306524,1.5,1.5,0,1.5,1.5
"42",20,1,"random",0.8,1.28738348633531,1.5,1.29923378380102,1.2755331888696,0.0590919025640055,1.5,1.5,0,1.5,1.5
"43",25,1,"random",0.8,1.35907232564045,1.5,1.37098522676639,1.34715942451451,0.093724328343426,1.5,1.5,0,1.5,1.5
"44",30,1,"random",0.8,1.35634737054577,1.5,1.36829926604002,1.34439547505152,0.104777038978175,1.5,1.5,0,1.5,1.5
"45",1,3,"random",1,0.46180068212178,0.124976194954887,0.471623842315044,0.451977521928516,0.015319233763872,0.868310223935829,1.5,0,1.5,1.5
"46",2,3,"random",1,0.639285098636781,0.245815162971222,0.649891935418677,0.628678261854885,0.0190851981165299,1.29002070540682,1.5,0,1.5,1.5
"47",3,3,"random",1,0.731561055226432,0.348557672909217,0.742559156973483,0.72056295347938,0.0341537790835635,1.47610522036041,1.5,0,1.5,1.5
"48",4,3,"random",1,0.858561806941665,0.581033639357128,0.870000693651159,0.84712292023217,0.0297271476134565,1.5,1.5,0,1.5,1.5
"49",5,3,"random",1,0.986109564143775,0.960558784887412,0.997761693644694,0.974457434642854,0.0466533820218344,1.5,1.5,0,1.5,1.5
"50",7,3,"random",1,1.04545065881382,1.18233727160321,1.05734028801543,1.03356102961221,0.042481223809479,1.5,1.5,0,1.5,1.5
"51",10,3,"random",1,1.1433348654466,1.41278863325329,1.15508356724433,1.13158616364887,0.057536824330101,1.5,1.5,0,1.5,1.5
"52",15,3,"random",1,1.32791192251633,1.5,1.33973503817971,1.31608880685295,0.0757025018348251,1.5,1.5,0,1.5,1.5
"53",20,3,"random",1,1.33331223676796,1.5,1.34512813880197,1.32149633473394,0.0713474761119631,1.5,1.5,0,1.5,1.5
"54",25,3,"random",1,1.39784275195284,1.5,1.4096178403054,1.38606766360028,0.162533617831742,1.5,1.5,0,1.5,1.5
"55",30,3,"random",1,1.37182388952526,1.5,1.38364358967045,1.36000418938006,0.104250507434167,1.5,1.5,0,1.5,1.5
"56",1,5,"random",1,1.00019045966211,0.889902116324053,1.01284008202638,0.987540837297837,0.0512031952535806,1.5,1.5,0,1.5,1.5
"57",2,5,"random",1,1.08109369789349,0.997498414808281,1.09412194585228,1.0680654499347,0.0483988053916291,1.5,1.5,0,1.5,1.5
"58",3,5,"random",1,1.18082164214385,1.21821664271241,1.19435202917545,1.16729125511225,0.0401513428264334,1.5,1.5,0,1.5,1.5
"59",4,5,"random",1,1.21639742766789,1.40463505333022,1.22984916739894,1.20294568793685,0.052281750962985,1.5,1.5,0,1.5,1.5
"60",5,5,"random",1,1.31506314431867,1.5,1.3285374896259,1.30158879901145,0.0672596331743459,1.5,1.5,0,1.5,1.5
"61",7,5,"random",1,1.40537748433479,1.5,1.41850357053988,1.3922513981297,0.125684698140048,1.5,1.5,0,1.5,1.5
"62",10,5,"random",1,1.41152583075077,1.5,1.4245778659747,1.39847379552683,0.0786988453976925,1.5,1.5,0,1.5,1.5
"63",15,5,"random",1,1.45489507862797,1.5,1.46786805219665,1.44192210505928,0.0964189495915426,1.5,1.5,0,1.5,1.5
"64",20,5,"random",1,1.47090310818787,1.5,1.48367966898465,1.45812654739109,0.172154245116063,1.5,1.5,0,1.5,1.5
"65",25,5,"random",1,1.4677687448966,1.5,1.48056170150097,1.45497578829223,0.0960966134700179,1.5,1.5,0,1.5,1.5
