"","test_freq","outcome","risk","delay","sensitivity","sens_multiplier","Lower","Upper","Min","Q1","Median","Mean","Q3","Max","R0"
"20","25","nInfected","1.28","1","random","1","7.06266887823808","6.25971934482327","100","0","0","6.66119411153067","0","0",2.5
"21","30","Infectiousness","1.28","1","random","1","8.21219161772632","7.3283223166484","100","22.0247543415775","0.992323929454377","7.77025696718736","0","0",2.5
"22","30","nInfected","1.28","1","random","1","1.77326676796677","1.04619363809681","100","0","0","1.40973020303179","0","0",2.5
"23","1","Infectiousness","0.96","1","random","1","91.4433542808263","90.6651576836021","100","99.3935726312693","96.9622066893299","91.0542559822142","86.7732964881686","33.3924399550428",2
"24","1","nInfected","0.96","1","random","1","69.8858070137838","69.0375813280695","100","96.5691151748036","83.9892041490834","69.4616941709267","42.8185862467264","0",2
"25","2","Infectiousness","0.96","1","random","1","82.3510023385543","81.5176792751537","100","98.420253989402","91.6472476433152","81.934340806854","68.927120825476","7.66261767072832",2
"26","2","nInfected","0.96","1","random","1","60.7173182626093","59.8073783899907","100","95.4254868997381","73.6965496734941","60.2623483263","25.6641621207443","0",2
"27","3","Infectiousness","0.96","1","random","1","72.5579968257381","71.6552590882857","100","97.6297029883175","83.5104415726507","72.1066279570119","49.3232053121692","0",2
"28","3","nInfected","0.96","1","random","1","52.4433414541466","51.4941706969038","100","93.1382303496072","58.829382097643","51.9687560755252","11.9406228199586","0",2
"29","4","Infectiousness","0.96","1","random","1","64.560327334177","63.6087533453434","100","97.0358318279096","71.2007073746263","64.0845403397602","34.9195519379319","0",2
"30","4","nInfected","0.96","1","random","1","46.7034359167024","45.7268885306393","100","93.1382303496072","41.6749579716609","46.2151622236708","3.93522489450029","0",2
"31","5","Infectiousness","0.96","1","random","1","58.0237458720526","57.0304403260903","100","95.7591679299131","63.0699898419036","57.5270930990715","24.2633307484585","0",2
"32","5","nInfected","0.96","1","random","1","41.951243184994","40.9549449876023","100","91.9946020745417","29.0950469459407","41.4530940862982","0","0",2
"33","7","Infectiousness","0.96","1","random","1","47.5146499879225","46.4731484914683","100","93.1719699543436","43.9783173757508","46.9938992396954","9.25847760439821","0",2
"34","7","nInfected","0.96","1","random","1","33.4332120005303","32.42376584739","100","86.5623677679807","11.3688086824259","32.9284889239602","0","0",2
"35","10","Infectiousness","0.96","1","random","1","36.9427862560041","35.8670480614638","100","89.5458860829963","27.3786105400758","36.4049171587339","0","0",2
"36","10","nInfected","0.96","1","random","1","24.6732462516041","23.6587719092129","100","79.4146910488215","0","24.1660090804085","0","0",2
"37","15","Infectiousness","0.96","1","random","1","25.5394286722107","24.4474070283392","100","67.5383830400479","9.72367885372659","24.9934178502749","0","0",2
"38","15","nInfected","0.96","1","random","1","15.6431224757866","14.6332924782968","100","34.8131883212681","0","15.1382074770417","0","0",2
"39","20","Infectiousness","0.96","1","random","1","17.7863735482156","16.7087606784617","100","37.5851772638774","3.82468423853255","17.2475671133386","0","0",2
"40","20","nInfected","0.96","1","random","1","9.27840860671816","8.3083070072387","100","0","0","8.79335780697843","0","0",2
"41","25","Infectiousness","0.96","1","random","1","13.9180456601056","12.8515944044683","100","31.4264767637453","0.828652511163046","13.3848200322869","0","0",2
"42","25","nInfected","0.96","1","random","1","6.49193241726155","5.54361154952748","100","0","0","6.01777198339452","0","0",2
"43","30","Infectiousness","0.96","1","random","1","12.4750272429153","11.3921544488344","100","26.2224917110186","0","11.9335908458748","0","0",2
"44","30","nInfected","0.96","1","random","1","6.9778409002461","6.0160635610478","100","0","0","6.49695223064695","0","0",2
"45","1","Infectiousness","0.645","1","random","1","92.8761627931463","91.8368853146591","100","99.7442361573876","98.4030107282233","92.3565240539027","90.7378155452839","26.1074953570929",1.5
