"","test_freq","delay","sensitivity","sens_multiplier","R0","R0_base","R0.upper","R0.lower","R0.Q3","R0.Q1","R0.Min","R0.Max"
"36",3,0,"perfect",1,0.174430510711265,1.5,0.176653214139356,0.172207807283172,0.058101957492315,0.27030261475007,0.6397294092056,0
"37",4,0,"perfect",1,0.244850214111279,1.5,0.247161492378342,0.242538935844215,0.102936115485806,0.360389116053833,0.928299218993273,0
"38",5,0,"perfect",1,0.351094068602139,1.5,0.353574635192684,0.348613502011593,0.161673478982797,0.509870798772171,1.04712914904969,0
"39",7,0,"perfect",1,0.495499610600369,1.5,0.498164855932887,0.492834365267852,0.279955506904797,0.682650763290765,1.38164225518307,0
"40",10,0,"perfect",1,0.583152222396785,1.5,0.585996943785176,0.580307501008392,0.337551585784255,0.786471439724731,1.5,0
"41",15,0,"perfect",1,0.869004281650777,1.5,0.872087889632386,0.865920673669167,0.609976965922311,1.14807492919361,1.5,0
"42",20,0,"perfect",1,0.83855556704149,1.5,0.841611967314206,0.835499166768776,0.566634278751153,1.08269683991442,1.5,0
"43",25,0,"perfect",1,0.894792108268242,1.5,0.897909916528798,0.891674300007685,0.612157794169734,1.15723869815532,1.5,0
"44",30,0,"perfect",1,1.02768438275919,1.5,1.03085798492259,1.02451078059579,0.753635517153492,1.30688430036965,1.5,0
"45",1,1,"random",0.8,0.291774333191348,1.5,0.29530789085814,0.288240775524556,0.137651165056437,0.42039114827748,1.04018697126954,0
"46",2,1,"random",0.8,0.486423808967118,1.5,0.490408338527985,0.482439279406251,0.259175304238689,0.689124309763979,1.36561482666116,0
"47",3,1,"random",0.8,0.619668868636943,1.5,0.623947582269165,0.615390155004718,0.357231035098221,0.871423011190215,1.5,0
"48",4,1,"random",0.8,0.764238483589916,1.5,0.768873524837714,0.759603442342119,0.463677845588868,1.04729312601972,1.5,0
"49",5,1,"random",0.8,0.821471134518477,1.5,0.826257856001899,0.816684413035056,0.497800238931039,1.14329736022478,1.5,0
"50",7,1,"random",0.8,1.00083194371034,1.5,1.00571461188374,0.995949275536944,0.679521623327096,1.32195492701612,1.5,0
"51",10,1,"random",0.8,1.15036189929275,1.5,1.15509294749107,1.14563085109443,0.897196854730464,1.44733419796725,1.5,0
"52",15,1,"random",0.8,1.28571191203273,1.5,1.29022976803106,1.2811940560344,1.05108018835318,1.5,1.5,0
"53",20,1,"random",0.8,1.32451804154994,1.5,1.32899189764761,1.32004418545227,1.09789039121841,1.5,1.5,0
"54",25,1,"random",0.8,1.3621877483649,1.5,1.36668197034673,1.35769352638308,1.15771475978779,1.5,1.5,0
"55",30,1,"random",0.8,1.39166806446312,1.5,1.39618881799095,1.38714731093528,1.17329163998232,1.5,1.5,0
"56",1,3,"random",1,0.664918914243799,1.5,0.668281186075372,0.661556642412227,0.322775511680112,0.974428269029685,1.5,0
"57",2,3,"random",1,0.838518422302845,1.5,0.842089248477866,0.834947596127824,0.479697484394991,1.18678771697521,1.5,0
"58",3,3,"random",1,0.949188364039865,1.5,0.952838807127648,0.945537920952081,0.590500862191404,1.31865012120001,1.5,0
"59",4,3,"random",1,1.02281672117378,1.5,1.02655309980297,1.01908034254458,0.651525531722619,1.42592125783269,1.5,0
"60",5,3,"random",1,1.08712833564317,1.5,1.0909281863051,1.08332848498124,0.714318890606199,1.5,1.5,0
"61",7,3,"random",1,1.14750563525244,1.5,1.15135904316262,1.14365222734226,0.780487170557047,1.5,1.5,0
"62",10,3,"random",1,1.30269408912521,1.5,1.30630891686011,1.29907926139032,1.02722008121159,1.5,1.5,0
"63",15,3,"random",1,1.38817556565201,1.5,1.39152244601759,1.38482868528643,1.16400676492647,1.5,1.5,0
"64",20,3,"random",1,1.41625541334896,1.5,1.41950205561642,1.41300877108151,1.20053207287422,1.5,1.5,0
"65",25,3,"random",1,1.43599147506208,1.5,1.43922909762252,1.43275385250164,1.2195430970415,1.5,1.5,0
"66",30,3,"random",1,1.45460593291567,1.5,1.457784770814,1.45142709501735,1.24070056223743,1.5,1.5,0
"67",1,5,"random",1,1.08362853331646,1.5,1.08746067269211,1.0797963939408,0.672609876199585,1.5,1.5,0
"68",2,5,"random",1,1.19398206725341,1.5,1.19790363509726,1.19006049940957,0.77368573159741,1.5,1.5,0
"69",3,5,"random",1,1.25254223567503,1.5,1.25650919386135,1.2485752774887,0.842869950954222,1.5,1.5,0
"70",4,5,"random",1,1.30613910895793,1.5,1.3100411540744,1.30223706384146,0.90003050357175,1.5,1.5,0
"71",5,5,"random",1,1.35015675696176,1.5,1.35407124181178,1.34624227211173,0.980112722860653,1.5,1.5,0
"72",7,5,"random",1,1.41852114010645,1.5,1.42220171307903,1.41484056713387,1.1501582331853,1.5,1.5,0
"73",10,5,"random",1,1.45691609401415,1.5,1.46033360409949,1.45349858392881,1.23601490452781,1.5,1.5,0
"74",15,5,"random",1,1.49174428406888,1.5,1.49487710924178,1.48861145889599,1.28577036311045,1.5,1.5,0
"75",20,5,"random",1,1.49733061985934,1.5,1.5,1.49431444130356,1.29408427649131,1.5,1.5,0
"76",25,5,"random",1,1.5,1.5,1.5,1.5,1.30196511955599,1.5,1.5,0
"77",30,5,"random",1,1.5,1.5,1.5,1.5,1.31248760566556,1.5,1.5,0
