"","test_freq","delay","sensitivity","sens_multiplier","Rc","Rc.upper","Rc.lower","Rc.Q3","Rc.Q1","Rc.Min","Rc.Max","R0","R0_base"
"58",3,5,"random",1,1.33809543989496,1.34235390388923,1.33383697590069,0.930306352848321,1.5,1.5,0,1.5,1.5
"59",4,5,"random",1,1.35932317752993,1.36353446762317,1.35511188743669,0.973978790327083,1.5,1.5,0,1.5,1.5
"60",5,5,"random",1,1.40393962075694,1.40810154962979,1.39977769188409,1.0791312127833,1.5,1.5,0,1.5,1.5
"61",7,5,"random",1,1.46934300590097,1.47318399538291,1.46550201641904,1.24165881418872,1.5,1.5,0,1.5,1.5
"62",10,5,"random",1,1.48645430553467,1.49001670697915,1.4828919040902,1.30319784976834,1.5,1.5,0,1.5,1.5
"63",15,5,"random",1,1.5,1.5,1.5,1.31690054076634,1.5,1.5,0,1.5,1.5
"64",20,5,"random",1,1.5,1.5,1.5,1.3241352204753,1.5,1.5,0,1.5,1.5
"65",25,5,"random",1,1.5,1.5,1.5,1.34313595217538,1.5,1.5,0,1.5,1.5
"66",30,5,"random",1,1.5,1.5,1.5,1.31275010156492,1.5,1.5,0,1.5,1.5
"67",1,0,"perfect",1,0.0187988969686769,0.0209769513408405,0.0166208425965136,0,0.00261395113842305,0.398573022298185,0,1.5,1.5
"68",2,0,"perfect",1,0.0739997756202059,0.0762043797193891,0.0717951715210216,0.0190106467354934,0.107322726296332,0.533550130290744,0,1.5,1.5
"69",3,0,"perfect",1,0.151626925599328,0.153926637655407,0.149327213543252,0.0415264505644291,0.234904108436883,0.706581226080219,0,1.5,1.5
"70",4,0,"perfect",1,0.22238822632623,0.224808937215573,0.219967515436889,0.072671270606742,0.337835752219571,0.852074123740824,0,1.5,1.5
"71",5,0,"perfect",1,0.32402714788582,0.326613686653683,0.321440609117959,0.126323362754671,0.497840664365022,1.0505576193162,0,1.5,1.5
"72",7,0,"perfect",1,0.458787532321055,0.461588441640627,0.455986623001483,0.21799995339621,0.666868558712595,1.39174781182097,0,1.5,1.5
"73",10,0,"perfect",1,0.544390596848778,0.547410795461222,0.541370398236336,0.283664152333078,0.745675135207484,1.5,0,1.5,1.5
"74",15,0,"perfect",1,0.876549874638172,0.879829033013444,0.873270716262903,0.602774563330203,1.1764902604124,1.5,0,1.5,1.5
"75",20,0,"perfect",1,0.81330240442149,0.816578561132331,0.810026247710651,0.528193043031628,1.0934273608236,1.5,0,1.5,1.5
"76",25,0,"perfect",1,0.874194203342783,0.877539370703886,0.870849035981679,0.562077925616436,1.15262918242058,1.5,0,1.5,1.5
"77",30,0,"perfect",1,1.03278292516888,1.03613776714581,1.02942808319195,0.739810083876879,1.32938427453831,1.5,0,1.5,1.5
