"","test_freq","outcome","risk","delay","sensitivity","sens_multiplier","Lower","Upper","Min","Q1","Median","Mean","Q3","Max","R0"
"48","2","nInfected","0.645","1","random","1","34.5624903911914","34.1379076163875","100","46.3166424366644","29.6038990443052","34.3501990037894","18.9685168855311","0",1.5
"49","3","Infectiousness","0.645","1","random","1","66.8986206588716","66.3483978314387","100","81.7166381311323","68.6760618557308","66.6235092451551","53.040831858756","12.0362021116757",1.5
"50","3","nInfected","0.645","1","random","1","32.9978344818778","32.5804681468789","100","44.2908553588026","29.6038990443052","32.7891513143783","16.9427298076694","0",1.5
"51","4","Infectiousness","0.645","1","random","1","58.4255083391558","57.8325942877125","100","75.5280471206413","59.2680960039061","58.1290513134342","43.0550635374845","0",1.5
"52","4","nInfected","0.645","1","random","1","31.3899409342643","30.9637853223195","100","42.2650682809409","27.071665196978","31.1768631282919","15.9298362687385","0",1.5
"53","5","Infectiousness","0.645","1","random","1","53.3014360213246","52.673293456069","100","72.6292339771834","54.8231362966894","52.9873647386968","35.411221739126","0",1.5
"54","5","nInfected","0.645","1","random","1","29.0417019545481","28.6098150024814","100","41.2521747420101","25.0458781191163","28.8257584785147","12.891155651946","0",1.5
"55","7","Infectiousness","0.645","1","random","1","42.57792412472","41.9166493020172","100","63.863817562915","41.716978264788","42.2472867133686","21.0615891264843","0",1.5
"56","7","nInfected","0.645","1","random","1","24.0097449205863","23.5771851778432","100","35.1748135084249","18.9685168855311","23.7934650492147","7.82668795729165","0",1.5
"57","10","Infectiousness","0.645","1","random","1","34.2834406442585","33.6144039381922","100","54.9351645096912","33.2990166687547","33.9489222912253","11.8550426449213","0",1.5
"58","10","nInfected","0.645","1","random","1","17.4626478435849","17.0567639631788","100","23.0200910412546","11.3718153435497","17.2597059033819","2.76222026263734","0",1.5
"59","15","Infectiousness","0.645","1","random","1","19.7086575614748","19.0619658361765","100","36.2588191032132","14.7480846095095","19.3853116988257","0.27328606056423","0",1.5
"60","15","nInfected","0.645","1","random","1","8.22841798086453","7.89446387999967","100","9.85247503515337","2.76222026263734","8.0614409304321","0","0",1.5
"61","20","Infectiousness","0.645","1","random","1","13.6899251917684","13.067285702865","100","27.7731379550778","10.9100325177269","13.3786054473167","0","0",1.5
"62","20","nInfected","0.645","1","random","1","4.42630699674487","4.1368141453224","100","4.78800734049906","0.736433184775621","4.28156057103363","0","0",1.5
"63","25","Infectiousness","0.645","1","random","1","14.0481053952704","13.4184921758751","100","29.6160832369933","10.5419140367589","13.7332987855728","0","0",1.5
"64","25","nInfected","0.645","1","random","1","3.93883635812273","3.65190698657091","100","3.7751138015682","0.736433184775621","3.79537167234682","0","0",1.5
"65","30","Infectiousness","0.645","1","random","1","11.0017517422554","10.3810727358147","100","26.7650191663639","8.31221136489076","10.6914122390351","0","0",1.5
"66","30","nInfected","0.645","1","random","1","3.03247015844421","2.74936448966467","100","1.74932672370648","0","2.89091732405444","0","0",1.5
"67","1","Infectiousness","0.645","0","perfect","1","98.9284637886085","98.5296402714235","100","100","100","98.729052030016","99.655166659522","75.1609268105617",1.5
"68","1","nInfected","0.645","0","perfect","1","28.024926002517","27.5992159611785","100","35.9332892662836","21.6962424365689","27.8120709818478","12.5438551888951","0",1.5
"69","2","Infectiousness","0.645","0","perfect","1","94.1669040979964","93.7616551574535","100","98.0595860298598","95.1371374335352","93.9642796277249","91.0111834605445","65.5202362657894",1.5
"70","2","nInfected","0.645","0","perfect","1","28.5456027555534","28.1300468097082","100","37.9671530991","22.7131743529771","28.3378247826308","13.5607871053033","0",1.5
"71","3","Infectiousness","0.645","0","perfect","1","88.354338417855","87.9294953573778","100","95.9828077513723","89.5830768970607","88.1419168876164","81.8392082572478","57.240611596742",1.5
"72","3","nInfected","0.645","0","perfect","1","30.0211957865629","29.6116917916137","100","40.0010169319164","24.7470381857935","29.8164437890883","14.5777190217115","0.340672191996739",1.5
"73","4","Infectiousness","0.645","0","perfect","1","84.0944024145328","83.6539185589627","100","93.3648124185953","84.7648207180321","83.8741604867478","76.183670932587","41.1978534575465",1.5
"74","4","nInfected","0.645","0","perfect","1","30.8401619898126","30.4299859737812","100","41.0179488483246","25.7639701022017","30.6350739817969","15.5946509381197","0.340672191996739",1.5
"75","5","Infectiousness","0.645","0","perfect","1","76.7210475667714","76.2480668185283","100","89.0759508459644","77.4393926191047","76.4845571926498","66.0262982596676","30.7073214923015",1.5
"76","5","nInfected","0.645","0","perfect","1","31.0017151716798","30.5979187328303","100","42.0348807647328","26.7809020186098","30.799816952255","15.5946509381197","0.340672191996739",1.5
"77","7","Infectiousness","0.645","0","perfect","1","67.2230797654593","66.7214979618112","100","80.8919629444218","68.1082763776482","66.9722888636353","54.3793756180125","13.3720060183822",1.5
"78","7","nInfected","0.645","0","perfect","1","30.7718828273109","30.3660639871499","100","42.0348807647328","26.7809020186098","30.5689734072304","14.5777190217115","0",1.5
"79","10","Infectiousness","0.645","0","perfect","1","61.1759223620149","60.6378317762253","100","77.3676863039922","63.2035758533162","60.9068770691201","46.6089042418917","0",1.5
"80","10","nInfected","0.645","0","perfect","1","30.7684622368186","30.3471120754812","100","43.306045660243","27.2893679768139","30.5577871561499","13.5607871053033","0",1.5
"81","15","Infectiousness","0.645","0","perfect","1","44.5682652245264","43.9850330269177","100","61.0799569143192","44.9386697930688","44.276649125722","25.512678603365","0",1.5
"82","15","nInfected","0.645","0","perfect","1","25.7020206851251","25.2910133312475","100","35.9332892662836","21.6962424365689","25.4965170081863","9.49305943967051","0",1.5
"83","20","Infectiousness","0.645","0","perfect","1","45.0071962960244","44.4337454324568","100","61.941316800349","45.6552259866233","44.7204708642406","29.5777322963563","0",1.5
"84","20","nInfected","0.645","0","perfect","1","19.7793135963778","19.4051070066628","100","28.8147658514262","15.5946509381197","19.5922103015203","6.44226369044592","0",1.5
"85","25","Infectiousness","0.645","0","perfect","1","43.246965359575","42.6593846745395","100","62.3279837282214","42.5525066264261","42.9531750170573","25.6586299858617","0",1.5
"86","25","nInfected","0.645","0","perfect","1","22.3704293103157","21.9759377004129","100","32.1197945797529","17.6285147709361","22.1731835053643","7.45919560685411","0",1.5
"87","30","Infectiousness","0.645","0","perfect","1","33.7002869752822","33.09997591014","100","51.5923643387737","31.3653843219204","33.4001314427111","16.1193354850799","0",1.5
"88","30","nInfected","0.645","0","perfect","1","17.2816107065005","16.9157757784743","100","23.9843392484873","12.5438551888951","17.0986932424874","5.42533177403772","0",1.5
"89","1","Infectiousness","0.645","1","random",".8","80.7839482983629","80.312807276124","100","90.8232556629042","82.8138135765249","80.5483777872435","71.973923448168","30.6542019153641",1.5
"90","1","nInfected","0.645","1","random",".8","37.5315615633438","37.0784444235303","100","49.168050425294","31.8851875698939","37.305002993437","20.7021586634586","0.369378833576193",1.5
"91","2","Infectiousness","0.645","1","random",".8","67.8373813729166","67.306110764801","100","82.7216463840874","68.8324902990232","67.5717460688588","54.0583793490681","8.95901155592237",1.5
"92","2","nInfected","0.645","1","random",".8","32.9848746508904","32.5431563453028","100","45.1014944593175","27.8186316039174","32.7640154980966","16.6356026974821","1.38601782507031",1.5
"93","3","Infectiousness","0.645","1","random",".8","58.9739896663521","58.403494515389","100","76.1845976601186","60.1212573346802","58.6887420908705","41.905132587319","0",1.5
"94","3","nInfected","0.645","1","random",".8","30.6803771064308","30.2321128683791","100","43.0682164763293","25.7853536209292","30.456244987405","13.5856857229998","0",1.5
"95","4","Infectiousness","0.645","1","random",".8","49.3597705105254","48.7417650108191","100","69.0881436274088","49.0275933414324","49.0507677606723","30.1804582653523","0",1.5
"96","4","nInfected","0.645","1","random",".8","25.9559424680779","25.5153600723899","100","36.9683825273645","20.7021586634586","25.7356512702339","9.51912975702328","0",1.5
"97","5","Infectiousness","0.645","1","random",".8","45.5543724643296","44.9161429332067","100","66.8133174045974","45.3801409025737","45.2352576987682","23.7801759850144","0",1.5
"98","5","nInfected","0.645","1","random",".8","24.1364064490608","23.6930693040992","100","34.9351045443763","18.6688806804704","23.91473787658","7.48585177403504","0",1.5
"99","7","Infectiousness","0.645","1","random",".8","33.6033816308704","32.9523592077508","100","54.6985584448603","31.0681557617354","33.2778704193106","11.8696715322587","0",1.5
"100","7","nInfected","0.645","1","random",".8","16.0695425921821","15.6518531401933","100","21.7187976549527","9.51912975702328","15.8606978661877","2.40265681656443","0",1.5
"101","10","Infectiousness","0.645","1","random",".8","23.6246099270378","22.9938035005955","100","40.1868763513024","20.381947730791","23.3092067138167","3.5110534688499","0",1.5
"102","10","nInfected","0.645","1","random",".8","9.38683821598776","9.00980913453805","100","11.5524077400115","3.41929580805855","9.1983236752629","0.369378833576193","0",1.5
"103","15","Infectiousness","0.645","1","random",".8","14.5870629310403","13.9846821312625","100","29.9279874431216","11.4877374237704","14.2858725311514","0","0",1.5
"104","15","nInfected","0.645","1","random",".8","4.16405065210975","3.83350941431064","100","3.41929580805855","0.369378833576193","3.9987800332102","0","0",1.5
"105","20","Infectiousness","0.645","1","random",".8","11.9970543031818","11.4005401568263","100","26.807307252106","9.21269431717478","11.6987972300041","0","0",1.5
"106","20","nInfected","0.645","1","random",".8","2.56371200199966","2.25515681768246","100","2.40265681656443","0","2.40943440984106","0","0",1.5
"107","25","Infectiousness","0.645","1","random",".8","9.48709824112776","8.88786864355162","100","22.8190160141475","6.62948532893556","9.18748344233969","0","0",1.5
"108","25","nInfected","0.645","1","random",".8","2.07084456543488","1.75849563585963","100","0.369378833576193","0","1.91467010064725","0","0",1.5
"109","30","Infectiousness","0.645","1","random",".8","7.52351260431497","6.92074546726967","100","21.7805573345117","3.49014941963525","7.22212903579232","0","0",1.5
"110","30","nInfected","0.645","1","random",".8","1.74557402755411","1.4285988236664","100","0.369378833576193","0","1.58708642561026","0","0",1.5
"111","1","Infectiousness","0.645","3","random","1","58.107567240762","57.5054577077617","100","78.4016945744052","58.1978852341866","57.8065124742618","39.5058235365258","0",1.5
"112","1","nInfected","0.645","3","random","1","37.3620098357648","36.9205213107927","100","49.1156841530172","33.8503893989223","37.1412655732788","19.6027809617671","0.266740939913655",1.5
"113","2","Infectiousness","0.645","3","random","1","48.111301322063","47.4683941898158","100","70.1879427724968","49.239893683975","47.7898477559394","27.9270952481476","0",1.5
"114","2","nInfected","0.645","3","random","1","33.6949447834219","33.2452473986047","100","48.0979978360775","29.7796441311637","33.4700960910133","16.5497220109482","0",1.5
